Integrator Name,Logo,Location,Website,Categories,Supported Protocols,Industries Served,Certification Level,AI_Industries_Gen,Category_Audit,Categories + Category_Audit Combined,Slug,AI_Description,Top 100 Integrator
Concept Reply,,"Bloomfield Hills, MI, United States",https://www.reply.com/concept-reply/en/,"Cloud / IIoT,MES Systems,Systems Integration,SCADA Security,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Sparkplug B","Automotive,Manufacturing,Data Centers,Transportation",Premier Integrator,"Automotive,Manufacturing,Data Centers,Transportation","Systems Integration,Cloud / IIoT,SCADA Security,Data Visualization / Dashboards","Cloud / IIoT, MES Systems, Systems Integration, SCADA Security, Data Visualization / Dashboards, Systems Integration, Cloud / IIoT, SCADA Security, Data Visualization / Dashboards",,"Concept Reply is a Munich, Germany-based integrator specializing in automotive and manufacturing industries. They provide end-to-end AIoT software development and system integration services, with a focus on delivering tailored solutions across the entire digital transformation value chain.",
"Patti Engineering, Inc.",,"Auburn Hills, Michigan",http://pattiengineering.com/,"MES Systems,Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,Data Visualization / Dashboards,Cloud / IIoT","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Automotive,Manufacturing,General Automation",Premier Integrator,"Automotive,Manufacturing,General Automation","Systems Integration,PLC Programming,Migration & Upgrades,HMI Design,MES Systems,Data Visualization / Dashboards,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, Data Visualization / Dashboards, Cloud / IIoT, Systems Integration, PLC Programming, Migration & Upgrades, HMI Design, MES Systems, Data Visualization / Dashboards, Cloud / IIoT",,"Patti Engineering, Inc. is an Auburn Hills, Michigan-based integrator specializing in manufacturing and automotive industries. They provide control systems integration and robotics solutions, with a focus on leveraging Industry 4.0 digital transformation technologies.",
"Shambaugh & Son, LP",,"Fort Wayne, IN, United States",http://www.shambaugh.com/,"Cloud / IIoT,Systems Integration,PLC Programming,HMI Design,MES Systems,Migration & Upgrades","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7,BACnet,DNP3","Food & Beverage,Manufacturing,Energy & Utilities,Water/Wastewater",Premier Integrator,"Food & Beverage,Manufacturing,Energy & Utilities,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,MES Systems,Migration & Upgrades","Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, MES Systems, Migration & Upgrades, Systems Integration, PLC Programming, HMI Design, MES Systems, Migration & Upgrades",,"Shambaugh & Son, LP is a Fort Wayne, Indiana-based integrator specializing in food processing and industrial manufacturing. They provide design-build construction and integrated process solutions, with a focus on self-performing all major disciplines for turnkey project delivery.",
Miller-Eads,,"Indianapolis, IN, United States",http://www.miller-eads.com/,"Cloud / IIoT,MES Systems,Systems Integration,HMI Design,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,PROFINET,Siemens S7","Energy & Utilities,Data Centers,Manufacturing,General Automation",Premier Integrator,"Energy & Utilities,Data Centers,Manufacturing,General Automation","Systems Integration,HMI Design,Data Visualization / Dashboards,Cloud / IIoT,MES Systems","Cloud / IIoT, MES Systems, Systems Integration, HMI Design, Data Visualization / Dashboards, Systems Integration, HMI Design, Data Visualization / Dashboards, Cloud / IIoT, MES Systems",,"Miller-Eads is an Indianapolis, Indiana-based integrator specializing in industrial automation and manufacturing. They provide electrical contracting and automation integration services, with a focus on process improvement and in-house UL-listed panel fabrication.",Top 100
"Engineered Software Products, Inc.",,"Lawrenceville, GA, United States",http://www.espatl.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Water/Wastewater",Premier Integrator,"Manufacturing,General Automation,Water/Wastewater","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,SCADA Security,Cloud / IIoT","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, SCADA Security, Cloud / IIoT",,"Engineered Software Products, Inc. is a Lawrenceville, Georgia-based integrator specializing in manufacturing and industrial automation. They provide control system integration and integrated power control centers, with a focus on delivering turnkey packaged solutions that combine process control, power, and automation systems.",
"Business Intelligence Solutions, LLC",,"Zeeland, MI, United States",http://www.getbi.net/,"Cloud / IIoT,Enterprise,MES Systems,Systems Integration,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","Manufacturing,General Automation,Food & Beverage,Water/Wastewater",Premier Integrator,"Manufacturing,General Automation,Food & Beverage,Water/Wastewater","Data Visualization / Dashboards,MES Systems,Systems Integration","Cloud / IIoT, Enterprise, MES Systems, Systems Integration, Data Visualization / Dashboards, Data Visualization / Dashboards, MES Systems, Systems Integration",,"Business Intelligence Solutions, LLC is a Zeeland, Michigan-based integrator specializing in manufacturing and pharmaceutical industries. They provide SCADA solutions and real-time production monitoring, with a focus on highly configurable systems tailored to plant floor operations.",
IDOM,,"Atlanta, GA, United States",https://www.idom.com/en/sector/digital-transformation/industry-4-0-consulting/,"Cloud / IIoT,Systems Integration,Data Visualization / Dashboards,MES Systems,Migration & Upgrades,SCADA Security","OPC UA,Modbus TCP,MQTT,Sparkplug B","Energy & Utilities,Manufacturing,Water/Wastewater,Mining & Metals",Premier Integrator,"Energy & Utilities,Manufacturing,Water/Wastewater,Mining & Metals","Systems Integration,Cloud / IIoT,Data Visualization / Dashboards,MES Systems,Migration & Upgrades,SCADA Security","Cloud / IIoT, Systems Integration, Data Visualization / Dashboards, MES Systems, Migration & Upgrades, SCADA Security, Systems Integration, Cloud / IIoT, Data Visualization / Dashboards, MES Systems, Migration & Upgrades, SCADA Security",,"IDOM is a Bilbao, Spain-based integrator specializing in manufacturing and industrial sectors. They provide Industry 4.0 consulting and digital transformation solutions, with a focus on IT/OT integration and real-time data connectivity across business and plant systems.",Top 100
Automation nth,,"LaVergne, Tennessee",http://automationnth.com/,"Cloud / IIoT,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT","Life Sciences,Manufacturing,Automotive,General Automation",Premier Integrator,"Life Sciences,Manufacturing,Automotive,General Automation","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,Cloud / IIoT","Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, Cloud / IIoT",,"Automationnth is a LaVergne, Tennessee-based integrator specializing in life sciences and medical device manufacturing. They provide custom automation equipment and control system integration, with a focus on complex assembly and inspection applications where quality is critical.",
Vertech,,"Phoenix, Arizona",https://www.vertech.com/,"Cloud / IIoT,Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,MES Systems,Migration & Upgrades,SCADA Security,Alarm Management","OPC UA,Modbus TCP,MQTT,Sparkplug B,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Food & Beverage,Energy & Utilities,Manufacturing",Premier Integrator,"Water/Wastewater,Food & Beverage,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming,HMI Design,Data Visualization / Dashboards,MES Systems,Cloud / IIoT,Migration & Upgrades,SCADA Security,Alarm Management","Cloud / IIoT, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, MES Systems, Migration & Upgrades, SCADA Security, Alarm Management, Systems Integration, PLC Programming, HMI Design, Data Visualization / Dashboards, MES Systems, Cloud / IIoT, Migration & Upgrades, SCADA Security, Alarm Management",,"Vertech is a Phoenix, Arizona-based integrator specializing in manufacturing and water/wastewater industries. They provide controls and automation as well as MES and SCADA solutions, with a focus on enterprise-level Ignition implementations and digital plant integration.",
"ECS Solutions, Inc",,"Evansville, IN, United States",http://www.ecssolutions.com/,"Enterprise,Systems Integration,MES Systems,PLC Programming,Data Visualization / Dashboards,Migration & Upgrades,HMI Design","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET","Food & Beverage,Water/Wastewater,Manufacturing,General Automation",Premier Integrator,"Food & Beverage,Water/Wastewater,Manufacturing,General Automation","Systems Integration,MES Systems,PLC Programming,Data Visualization / Dashboards,Migration & Upgrades,HMI Design","Enterprise, Systems Integration, MES Systems, PLC Programming, Data Visualization / Dashboards, Migration & Upgrades, HMI Design, Systems Integration, MES Systems, PLC Programming, Data Visualization / Dashboards, Migration & Upgrades, HMI Design",,"ECS Solutions, Inc. is an Evansville, Indiana-based integrator specializing in batch manufacturing and food & beverage industries. They provide process automation and production control services, with a focus on delivering bi-lingual automation solutions for complex manufacturing environments.",Top 100
Prime Controls,,"Lewisville, Texas",http://www.prime-controls.com/,"Cloud / IIoT,MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,SCADA Security","OPC UA,Modbus TCP,MQTT,DNP3,BACnet","Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing",Premier Integrator,"Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,MES Systems,Data Visualization / Dashboards,SCADA Security,Cloud / IIoT","Cloud / IIoT, MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, SCADA Security, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, MES Systems, Data Visualization / Dashboards, SCADA Security, Cloud / IIoT",,"Prime Controls is a Lewisville, Texas-based integrator specializing in water/wastewater and energy industries. They provide instrumentation and electrical design as well as systems integration services, with a focus on delivering total system responsibility for automation and control projects.",
Texas Automation Systems,,"Grand Prairie, Texas",http://txautosys.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Cloud / IIoT,Data Visualization / Dashboards","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Oil & Gas,Manufacturing,Energy & Utilities",Premier Integrator,"Water/Wastewater,Oil & Gas,Manufacturing,Energy & Utilities","Systems Integration,PLC Programming,HMI Design,Cloud / IIoT,Data Visualization / Dashboards","MES Systems, Systems Integration, PLC Programming, HMI Design, Cloud / IIoT, Data Visualization / Dashboards, Systems Integration, PLC Programming, HMI Design, Cloud / IIoT, Data Visualization / Dashboards",,"Texas Automation Systems is a Grand Prairie, Texas-based integrator specializing in oil and gas and water/wastewater industries. They provide automation system integration and SCADA solutions, with a focus on custom wireless and telemetry capabilities.",Top 100
ENTRUST Solutions Group,,"Warrenville, Illinois",https://www.en-automation.com/,"MES Systems,Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,Cloud / IIoT,SCADA Security,Alarm Management","OPC UA,Modbus TCP,MQTT,Ethernet/IP,Siemens S7,PROFINET,DNP3,BACnet","Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing",Premier Integrator,"Water/Wastewater,Oil & Gas,Energy & Utilities,Manufacturing","Systems Integration,PLC Programming,HMI Design,Migration & Upgrades,Data Visualization / Dashboards,MES Systems,Cloud / IIoT,SCADA Security,Alarm Management","MES Systems, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, Cloud / IIoT, SCADA Security, Alarm Management, Systems Integration, PLC Programming, HMI Design, Migration & Upgrades, Data Visualization / Dashboards, MES Systems, Cloud / IIoT, SCADA Security, Alarm Management",,"ENTRUST Solutions Group is a Warrenville, Illinois-based integrator specializing in utilities and critical infrastructure. They provide engineering consulting and automation solutions, with a focus on modernizing and strengthening energy and gas systems across North America.",Top 100
